ID,Name,CountryCode,District,Population
2252,Huangyan,CHN,Zhejiang,89288
2251,Pingyi,CHN,Shandong,89373
2250,Huaying,CHN,Sichuan,89400
2249,Junan,CHN,Shandong,90222
2248,Shaowu,CHN,Fujian,90286
2247,"Xilin Hot",CHN,"Inner Mongolia",90646
2246,Linhai,CHN,Zhejiang,90870
2245,Putian,CHN,Fujian,91030
2244,Tumen,CHN,Jilin,91471
2243,Kaiyuan,CHN,Yunnan,91999
2242,Yuzhou,CHN,Henan,92889
2241,Bose,CHN,Guangxi,93009
2240,Enshi,CHN,Hubei,93056
2239,Emeishan,CHN,Sichuan,94000
2238,Jinzhou,CHN,Liaoning,95761
2237,Ya´an,CHN,Sichuan,95900
2236,"Tong Xian",CHN,Peking,97168
2235,Zhangjiagang,CHN,Jiangsu,97994
2234,Jieyang,CHN,Guangdong,98531
2233,Xinzhou,CHN,Shanxi,98667
2232,Fuqing,CHN,Fujian,99193
2231,Pingliang,CHN,Gansu,99265
2230,Haining,CHN,Zhejiang,100478
2229,Kunshan,CHN,Jiangsu,102052
2228,Zhucheng,CHN,Shandong,102134
2227,Xingcheng,CHN,Liaoning,102384
2226,Huangshan,CHN,Anhui,102628
2225,Guangshui,CHN,Hubei,102770
2224,Sanya,CHN,Hainan,102820
2223,Fujin,CHN,Heilongjiang,103104
2222,Danjiangkou,CHN,Hubei,103211
2221,Hengshui,CHN,Hebei,104269
2220,Shishou,CHN,Hubei,104571
2219,Suqian,CHN,Jiangsu,105021
2218,Fu´an,CHN,Fujian,105265
2217,Jinchang,CHN,Gansu,105287
2216,Bozhou,CHN,Anhui,106346
2215,Yuanjiang,CHN,Hunan,107004
2214,Cixi,CHN,Zhejiang,107329
2213,Shanwei,CHN,Guangdong,107847
2212,Yuncheng,CHN,Shanxi,108359
2211,Liling,CHN,Hunan,108504
2210,Yumen,CHN,Gansu,109234
2209,Yizheng,CHN,Jiangsu,109268
2208,Liyang,CHN,Jiangsu,109520
2207,Zixing,CHN,Hunan,110048
2206,Yong´an,CHN,Fujian,111762
2205,Quzhou,CHN,Zhejiang,112373
2204,Xuangzhou,CHN,Anhui,112673
2203,Beihai,CHN,Guangxi,112673
2202,Yan´an,CHN,Shaanxi,113277
