Country,POPULATION,LANGUAGE,Percentage
"Russian Federation",146934000,Avarian,0.4
"Russian Federation",146934000,Bashkir,0.7
"Russian Federation",146934000,Belorussian,0.3
"Russian Federation",146934000,Chechen,0.6
"Russian Federation",146934000,Chuvash,0.9
"Russian Federation",146934000,Kazakh,0.4
"Russian Federation",146934000,Mari,0.4
"Russian Federation",146934000,Mordva,0.5
"Russian Federation",146934000,Tatar,3.2
"Russian Federation",146934000,Udmur,0.3
"Russian Federation",146934000,Ukrainian,1.3
